Community,County,per,% Valuation,Rate,Equalizer
Flossmoor,Cook,$100.00,10.00%,11.75%,2.9706
Ford Heights,Cook,$100.00,10.00%,10.21%,2.9706
Forest Park,Cook,$100.00,10.00%,8.84%,2.9706
Fox Lake,Lake,$100.00,33.30%,0.00%,1.0199
Fox River Grove,Mchenry,$100.00,33.30%,8.70%,1
Frankfort,Will,$100.00,33.30%,7.67%,1
Franklin Park,Cook,$100.00,10.00%,8.62%,2.9706
Freeburg,St,$100.00,33.30%,7.38%,1
Freeport,Stephenson,$100.00,33.30%,10.54%,1
Fulton,Whiteside,$100.00,33.30%,7.78%,1
Galatia,Saline,$100.00,33.30%,6.13%,1
Galena,Jo Daviess,$100.00,33.30%,6.68%,1
Galesburg,Knox,$100.00,33.30%,8.71%,1
Galva,Henry,$100.00,33.30%,10.01%,1
Gardner,Grundy,$100.00,33.30%,7.38%,1
Geneseo,Henry,$100.00,33.30%,7.58%,1
Geneva,Kane,$100.00,33.30%,7.72%,1
Genoa,Dekalb,$100.00,33.30%,8.11%,1
Georgetown,Vermilion,$100.00,33.30%,8.87%,1
Gibson City,Ford,$100.00,33.30%,8.38%,1
Gillespie,Macoupin,$100.00,33.30%,6.14%,1
Gilman,Iroquois,$100.00,33.30%,9.21%,1
Girard,Macoupin,$100.00,33.30%,7.50%,1
Gladstone,Henderson,$100.00,33.30%,8.70%,1
Glen Carbon,Madison,$100.00,33.30%,6.89%,1
Glen Ellyn,Dupage,$100.00,33.30%,5.96%,1.059
Glencoe,Cook,$100.00,10.00%,6.44%,2.9706
Glendale Heights,Dupage,$100.00,33.30%,8.20%,1.059
Glenwood,Cook,$100.00,10.00%,15.94%,2.9706
Godfrey,Madison,$100.00,33.30%,6.67%,1
Golconda,Pope,$100.00,33.30%,7.30%,1
Golden,Adams,$100.00,33.30%,6.45%,1
Goodfield,Woodford,$100.00,33.30%,6.28%,1
Goreville,Johnson,$100.00,33.30%,7.35%,1
Grafton,Jersey,$100.00,33.30%,6.71%,1
Grand Tower,Jackson,$100.00,33.30%,7.36%,1
Granite City,Madison,$100.00,33.30%,8.83%,1
Grayslake,Lake,$100.00,33.30%,9.53%,1.0199
Grayville,White,$100.00,33.30%,10.94%,1
Greenfield,Greene,$100.00,33.30%,8.77%,1
Greenup,Cumberland,$100.00,33.30%,9.46%,1
